         521498010 function calls (521495097 primitive calls) in 566.919 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    25275   50.458    0.002  181.518    0.007 {method 'Parse' of 'pyexpat.xmlparser' objects}
 20484627   48.797    0.000   80.562    0.000 C:\Users\kiran\anaconda3\lib\xml\etree\ElementTree.py:1621(_start)
  9583824   44.035    0.000  100.316    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\worksheet\_reader.py:177(parse_cell)
  9583824   40.054    0.000  123.278    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\excel\_openpyxl.py:508(_convert_cell)
  9583824   22.218    0.000   24.283    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\utils\cell.py:193(coordinate_to_tuple)
 62241485   21.483    0.000   21.483    0.000 C:\Users\kiran\anaconda3\lib\xml\etree\ElementTree.py:1604(_fixname)
 20490842   19.557    0.000   26.714    0.000 C:\Users\kiran\anaconda3\lib\xml\etree\ElementTree.py:1292(read_events)
  1250085   19.328    0.000  361.791    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\worksheet\_reader.py:113(parse)
 20484548   18.860    0.000   29.811    0.000 C:\Users\kiran\anaconda3\lib\xml\etree\ElementTree.py:1633(_end)
 20484548   17.557    0.000   50.498    0.000 C:\Users\kiran\anaconda3\lib\xml\etree\ElementTree.py:1562(handler)
  1250064   17.480    0.000   32.250    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\worksheet\_read_only.py:101(_get_row)
 20484627   15.807    0.000   15.807    0.000 {method 'start' of 'xml.etree.ElementTree.TreeBuilder' objects}
  5833598   12.034    0.000   39.663    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\styles\numbers.py:104(is_date_format)
  5833534   11.169    0.000   18.564    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\cell\read_only.py:64(number_format)
  9583824   11.067    0.000   14.770    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\cell\read_only.py:14(__init__)
  9583824   10.544    0.000   68.772    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\cell\cell.py:246(is_date)
  1250043    9.705    0.000   11.944    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\utils\datetime.py:103(from_excel)
  7083577    8.874    0.000    8.874    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\worksheet\_reader.py:78(_cast_number)
  9583824    8.642    0.000   77.414    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\cell\read_only.py:99(is_date)
20465567/20465543    8.538    0.000  220.734    0.000 C:\Users\kiran\anaconda3\lib\xml\etree\ElementTree.py:1224(iterator)
  1250064    7.612    0.000  118.980    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\worksheet\_reader.py:265(parse_row)
       21    7.475    0.356  539.653   25.698 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\excel\_openpyxl.py:531(get_sheet_data)
  1250064    7.351    0.000  107.667    0.000 C:\Users\kiran\anaconda3\lib\site-packages\openpyxl\worksheet\_reader.py:286(<listcomp>)
 28751472    6.540    0.000    6.540    0.000 {method 'get' of 'xml.etree.ElementTree.Element' objects}
26595425/26595406    6.528    0.000    6.559    0.000 {built-in method builtins.isinstance}
  1250064    6.475    0.000  129.753    0.000 C:\Users\kiran\anaconda3\lib\site-packages\pandas\io\excel\_openpyxl.py:549(<listcomp>)
  5833625    6.104    0.000    8.803    0.000 C:\Users\kiran\anaconda3\lib\re.py:289(_compile)
